orden_id,fecha_orden,fecha_entrega,proveedor_id,proveedor,calidad_proveedor,sku,producto,categoria,cantidad,costo_unitario,costo_total,dias_estimados,dias_reales,retraso,entregado,puntual
OC-00164,2024-11-04,2024-11-06,PROV003,Suministros Empresariales C.A.,92,SOF001,Office 365 1 año,Software,24,851.89,20445.36,2,2.0,1.0,True,False
OC-00165,2024-07-16,2024-07-21,PROV001,Distribuidora Tecnológica S.A.,85,MOU001,Mouse Ergonómico,Periféricos,20,381.43,7628.6,3,5.0,1.0,True,False
OC-00166,2024-08-12,,PROV004,TecnoPartes del Sur,60,WEB002,Cámara Seguridad,Cámaras,22,1976.27,43477.94,10,,,False,False
OC-00167,2024-02-07,2024-02-15,PROV006,Comercializadora Digital Express,75,MOU001,Mouse Ergonómico,Periféricos,16,335.02,5360.32,5,8.0,0.0,True,True
OC-00168,2024-10-29,2024-10-30,PROV007,Mayorista de Tecnología,95,MUE001,Silla Ergonómica,Muebles,17,3621.98,61573.66,1,1.0,3.0,True,False
OC-00169,2024-08-25,2024-09-04,PROV004,TecnoPartes del Sur,60,DIS001,SSD 1TB,Almacenamiento,31,1392.1,43155.1,10,10.0,2.0,True,False
OC-00170,2024-12-03,,PROV003,Suministros Empresariales C.A.,92,SOF001,Office 365 1 año,Software,26,834.04,21685.04,2,,,False,False
OC-00171,2024-09-23,2024-10-07,PROV004,TecnoPartes del Sur,60,MOU001,Mouse Ergonómico,Periféricos,55,307.15,16893.25,10,14.0,1.0,True,False
OC-00172,2024-10-14,2024-10-27,PROV004,TecnoPartes del Sur,60,PAP001,Papel Bond 5000 hojas,Papelería,29,219.89,6376.81,10,13.0,0.0,True,True
OC-00173,2024-03-27,2024-03-29,PROV003,Suministros Empresariales C.A.,92,RED002,Switch 8 puertos,Redes,61,689.38,42052.18,2,2.0,7.0,True,False
OC-00174,2024-12-13,2024-12-31,PROV004,TecnoPartes del Sur,60,SOF001,Office 365 1 año,Software,49,1000.62,49030.38,10,18.0,0.0,True,True
OC-00175,2024-09-29,2024-10-02,PROV005,Logística Integral de Cómputo,88,MUE001,Silla Ergonómica,Muebles,9,3900.96,35108.64,4,3.0,1.0,True,False
OC-00176,2024-03-03,2024-03-08,PROV006,Comercializadora Digital Express,75,MUE003,Lámpara LED,Muebles,19,307.54,5843.26,5,5.0,0.0,True,True
OC-00177,2024-10-20,,PROV002,Importaciones Globales Ltda.,70,PAP001,Papel Bond 5000 hojas,Papelería,61,215.28,13132.08,7,,,False,False
OC-00178,2024-08-25,2024-08-29,PROV002,Importaciones Globales Ltda.,70,LAP002,Laptop Air 13,Electrónica,41,8055.05,330257.05,7,4.0,5.0,True,False
OC-00179,2024-03-27,2024-03-29,PROV007,Mayorista de Tecnología,95,DIS003,USB 64GB,Almacenamiento,70,137.41,9618.7,1,2.0,1.0,True,False
OC-00180,2024-10-24,2024-10-28,PROV006,Comercializadora Digital Express,75,MUE002,Escritorio Eléctrico,Muebles,36,3882.03,139753.08,5,4.0,0.0,True,True
OC-00181,2024-04-29,2024-04-30,PROV005,Logística Integral de Cómputo,88,DIS002,HDD 4TB,Almacenamiento,76,1318.25,100187.0,4,1.0,0.0,True,True
OC-00182,2024-08-18,2024-08-19,PROV006,Comercializadora Digital Express,75,DIS001,SSD 1TB,Almacenamiento,72,1415.8,101937.6,5,1.0,0.0,True,True
OC-00183,2024-05-01,2024-05-02,PROV007,Mayorista de Tecnología,95,TEC002,Teclado Inalámbrico,Periféricos,13,459.69,5975.97,1,1.0,0.0,True,True
OC-00184,2024-07-01,2024-07-06,PROV005,Logística Integral de Cómputo,88,SOF001,Office 365 1 año,Software,37,938.8,34735.6,4,5.0,0.0,True,True
OC-00185,2024-08-05,2024-08-13,PROV004,TecnoPartes del Sur,60,LAP002,Laptop Air 13,Electrónica,28,9601.35,268837.8,10,8.0,0.0,True,True
OC-00186,2024-02-13,2024-02-15,PROV001,Distribuidora Tecnológica S.A.,85,AUD002,Parlante Portátil,Audio,23,901.11,20725.53,3,2.0,0.0,True,True
OC-00187,2024-01-08,2024-01-13,PROV004,TecnoPartes del Sur,60,PAP001,Papel Bond 5000 hojas,Papelería,6,183.12,1098.72,10,5.0,0.0,True,True
OC-00188,2024-04-07,2024-04-14,PROV001,Distribuidora Tecnológica S.A.,85,DIS003,USB 64GB,Almacenamiento,54,139.29,7521.66,3,7.0,0.0,True,True
OC-00189,2024-08-11,2024-08-20,PROV004,TecnoPartes del Sur,60,RED001,Router WiFi 6,Redes,18,1111.95,20015.1,10,9.0,0.0,True,True
OC-00190,2024-10-08,,PROV007,Mayorista de Tecnología,95,LAP001,Laptop Pro 15,Electrónica,16,11576.67,185226.72,1,,,False,False
OC-00191,2024-06-18,2024-06-28,PROV002,Importaciones Globales Ltda.,70,AUD001,Audífonos Bluetooth,Audio,27,1022.3,27602.1,7,10.0,0.0,True,True
OC-00192,2024-09-12,2024-09-21,PROV006,Comercializadora Digital Express,75,AUD002,Parlante Portátil,Audio,28,737.11,20639.08,5,9.0,0.0,True,True
OC-00193,2024-12-04,2024-12-07,PROV007,Mayorista de Tecnología,95,WEB002,Cámara Seguridad,Cámaras,23,1547.84,35600.32,1,3.0,2.0,True,False
OC-00194,2024-08-19,2024-08-28,PROV002,Importaciones Globales Ltda.,70,DIS003,USB 64GB,Almacenamiento,56,140.16,7848.96,7,9.0,5.0,True,False
OC-00195,2024-09-15,2024-09-22,PROV002,Importaciones Globales Ltda.,70,DIS002,HDD 4TB,Almacenamiento,40,1216.46,48658.4,7,7.0,1.0,True,False
OC-00196,2024-01-28,2024-01-29,PROV003,Suministros Empresariales C.A.,92,MUE002,Escritorio Eléctrico,Muebles,18,4705.93,84706.74,2,1.0,0.0,True,True
OC-00197,2024-08-23,2024-08-28,PROV003,Suministros Empresariales C.A.,92,MUE002,Escritorio Eléctrico,Muebles,4,4857.22,19428.88,2,5.0,1.0,True,False
OC-00198,2024-12-07,2024-12-10,PROV006,Comercializadora Digital Express,75,LAP001,Laptop Pro 15,Electrónica,23,10375.36,238633.28,5,3.0,0.0,True,True
OC-00199,2024-07-26,2024-08-06,PROV002,Importaciones Globales Ltda.,70,WEB002,Cámara Seguridad,Cámaras,8,1960.42,15683.36,7,11.0,0.0,True,True
OC-00200,2024-01-15,2024-01-17,PROV001,Distribuidora Tecnológica S.A.,85,SOF002,Antivirus 3 equipos,Software,58,407.69,23646.02,3,2.0,0.0,True,True
